,var_name,lr_importance,rf_importance
313,onehotencoder__Model_Camry W4 (AT),631988.5713813914,1.0066394707328043e-06
314,onehotencoder__Model_Captiva 2.2 LT,292054.98551668756,2.2788902746439547e-06
315,onehotencoder__Model_Captiva 2.2 LTZ AWD,82176.18199170218,1.1964756378167938e-05
316,onehotencoder__Model_Captiva LT,152481.5825123947,1.5252165808887087e-06
317,onehotencoder__Model_Captur 1.5 Diesel RXT,418868.15413448075,1.3051106666044427e-05
318,onehotencoder__Model_Celerio LDi,290704.5267542239,5.8503336794508154e-05
319,onehotencoder__Model_Celerio LXI,97344.99643521258,1.1453913040644292e-06
320,onehotencoder__Model_Celerio VDi,310394.5801942776,5.604206894108295e-05
321,onehotencoder__Model_Celerio VXI,61842.3857904156,3.391385109615397e-05
322,onehotencoder__Model_Celerio VXI AT,349713.8405820557,6.772972911888969e-07
323,onehotencoder__Model_Celerio VXI MT BSIV,123251.99331818691,4.389297260681601e-07
324,onehotencoder__Model_Celerio VXi AMT,395731.07743061776,9.087703410289322e-06
